QHsmTst example for CubeSat, QP-nano 6.9.0
total power minute 1:, 1.509335
total power minute 2:, 1.508661
total power minute 3:, 1.506146
total power minute 4:, 1.501802
total power minute 5:, 1.495648
total power minute 6:, 1.487714
total power minute 7:, 1.478036
total power minute 8:, 1.466658
total power minute 9:, 1.453632
total power minute 10:, 1.439018
total power minute 11:, 1.422885
total power minute 12:, 1.405305
total power minute 13:, 1.397203
total power minute 14:, 1.415384
total power minute 15:, 1.432151
total power minute 16:, 1.447427
total power minute 17:, 1.461141
total power minute 18:, 1.473232
total power minute 19:, 1.483644
total power minute 20:, 1.492328
total power minute 21:, 1.499245
total power minute 22:, 1.504364
total power minute 23:, 1.507661
total power minute 24:, 1.509121
total power minute 25:, 1.508738
total power minute 26:, 1.506514
total power minute 27:, 1.502459
total power minute 28:, 1.496592
total power minute 29:, 1.488941
total power minute 30:, 1.479541
total power minute 31:, 1.468435
total power minute 32:, 1.455675
total power minute 33:, 1.441320
total power minute 34:, 1.425437
total power minute 35:, 1.408098
total power minute 36:, 1.392728
total power minute 37:, 1.411172
total power minute 38:, 1.428220
total power minute 39:, 1.443794
total power minute 40:, 1.457825
total power minute 41:, 1.470248
total power minute 42:, 1.481008
total power minute 43:, 1.490056
total power minute 44:, 1.497352
total power minute 45:, 1.502863
total power minute 46:, 1.506566
total power minute 47:, 1.508444
total power minute 48:, 1.508490
total power minute 49:, 1.506704
total power minute 50:, 1.503096
